Stormname,Track,Season,Dates as aCategory 4,Maximumsustained winds,Minimum pressure,Notes
Hurricane Charlie,,1951,19-Aug,130 mph (215 km/h),958 mbar (hPa; 28.29 inHg),
Hurricane Easy,,1951,September 7-8,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Fox,,1952,15-Oct,145 mph (230 km/h),934 mbar (hPa; 27.58 inHg),
Hurricane Hazel,,1954,October 23-24,130 mph (215 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Connie,,1955,7-Aug,140 mph (220 km/h),944 mbar (hPa; 27.88 inHg),
Hurricane Ione,,1955,18-Sep,140 mph (220 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Carrie,,1957,September 7-8,140 mph (220 km/h),945 mbar (hPa; 27.91 inHg),
Hurricane Cleo,,1958,16-Aug,140 mph (220 km/h),947 mbar (hPa; 27.96 inHg),
Hurricane Daisy,,1958,28-Aug,130 mph (215 km/h),948 mbar (hPa; 27.99 inHg),
Hurricane Helene,,1958,27-Sep,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
Hurricane Gracie,,1959,29-Sep,140 mph (220 km/h),950 mbar (hPa; 28.05 inHg),
Hurricane Donna,,1960,September 6-10,145 mph (230 km/h),930 mbar (hPa; 27.46 inHg),
Hurricane Betsy,,1961,September 5-6,130 mph (215 km/h),945 mbar (hPa; 27.91 inHg),
Hurricane Carla,,1961,September 10-11,145 mph (233 km/h),927 mbar (hPa; 27.73 inHg),
Hurricane Frances,,1961,7-Oct,130 mph (215 km/h),948 mbar (hPa; 27.99 inHg),
Hurricane Flora,,1963,October 2-3,150 mph (240 km/h),933 mbar (hPa; 27.55 inHg),
Hurricane Cleo,,1964,August 23-24,150 mph (240 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Dora,,1964,6-Sep,130 mph (215 km/h),942 mbar (hPa; 27.82 inHg),
Hurricane Gladys,,1964,17-Sep,130 mph (215 km/h),945 mbar (hPa; 27.91 inHg),
Hurricane Hilda,,1964,October 1-2,140 mph (220 km/h),941 mbar (hPa; 27.79 inHg),
Hurricane Betsy,,1965,September 4-9,140 mph (220 km/h),942 mbar (hPa; 27.82 inHg),
Hurricane Inez,,1966,September 28-October 9,150 mph (240 km/h),929 mbar (hPa; 27.43 inHg),
Hurricane Carmen,,1974,September 1-7,150 mph (240 km/h),928 mbar (hPa; 27.40 inHg),
Hurricane Gladys,,1975,October 2-3,140 mph (220 km/h),939 mbar (hPa; 27.73 inHg),
Hurricane Ella,,1978,September 4,140 mph (220 km/h),956 mbar (hPa; 28.23 inHg),
Hurricane Greta,,1978,September 18,130 mph (215 km/h),947 mbar (hPa; 27.96 inHg),
Hurricane Frederic,,1979,September 12-13,130 mph (215 km/h),943 mbar (hPa; 27.85 inHg),
Hurricane Harvey,,1981,September 14,130 mph (215 km/h),946 mbar (hPa; 27.94 inHg),
Hurricane Debby,,1982,September 18,130 mph (215 km/h),950 mbar (hPa; 28.05 inHg),
Hurricane Diana,,1984,September 11-12,130 mph (215 km/h),949 mbar (hPa; 28.02 inHg),
Hurricane Gloria,,1985,September 24-25,145 mph (230 km/h),919 mbar (hPa; 27.14 inHg),
Hurricane Helene,,1988,September 22-23,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Joan,,1988,October 21-22,145 mph (230 km/h),932 mbar (hPa; 27.52 inHg),
Hurricane Gabrielle,,1989,September 4-7,145 mph (230 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Claudette,,1991,September 7,130 mph (215 km/h),944 mbar (hPa; 27.88 inHg),
Hurricane Felix,,1995,August 12-13,140 mph (220 km/h),929 mbar (hPa; 27.43 inHg),
Hurricane Luis,,1995,September 1-8,150 mph (240 km/h),935 mbar (hPa; 27.61 inHg),
Hurricane Opal,,1995,October 4,150 mph (240 km/h),916 mbar (hPa; 27.05 inHg),
Hurricane Edouard,,1996,August 25-28,145 mph (230 km/h),933 mbar (hPa; 27.55 inHg),
Hurricane Hortense,,1996,September 12-13,140 mph (220 km/h),935 mbar (hPa; 27.61 inHg),
Hurricane Georges,,1998,September 19-20,155 mph (250 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Bret,,1999,August 22,145 mph (230 km/h),944 mbar (hPa; 27.88 inHg),
Hurricane Cindy,,1999,August 28-29,140 mph (220 km/h),942 mbar (hPa; 27.81 inHg),
Hurricane Floyd,,1999,September 12-14,155 mph (250 km/h),921 mbar (hPa; 27.2 inHg),
Hurricane Gert,,1999,September 15-17,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
Hurricane Lenny,,1999,November 17-18,155 mph (250 km/h),933 mbar (hPa; 27.55 inHg),
Hurricane Isaac,,2000,September 28-29,140 mph (220 km/h),943 mbar (hPa; 27.85 inHg),
Hurricane Keith,,2000,October 1,140 mph (220 km/h),939 mbar (hPa; 27.73 inHg),
Hurricane Iris,,2001,October 8-9,145 mph (230 km/h),948 mbar (hPa; 27.99 inHg),
Hurricane Michelle,,2001,November 3-4,140 mph (220 km/h),933 mbar (hPa; 27.55 inHg),
Hurricane Lili,,2002,October 2-3,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Fabian,,2003,August 31-September 5,145 mph (230 km/h),939 mbar (hPa; 27.73 inHg),
Hurricane Charley,,2004,August 13,150 mph (240 km/h),941 mbar (hPa; 27.79 inHg),
Hurricane Frances,,2004,August 28-September 2,145 mph (230 km/h),935 mbar (hPa; 27.61 inHg),
Hurricane Karl,,2004,September 20-21,145 mph (230 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Dennis,,2005,July 8-10,150 mph (240 km/h),930 mbar (hPa; 27.46 inHg),
Hurricane Gustav,,2008,August 30-31,155 mph (250 km/h),941 mbar (hPa; 27.79 inHg),
Hurricane Ike,,2008,September 4-8,145 mph (230 km/h),935 mbar (hPa; 27.61 inHg),
Hurricane Omar,,2008,October 16,130 mph (215 km/h),958 mbar (hPa; 28.29 inHg),
Hurricane Paloma,,2008,November 8,145 mph (230 km/h),944 mbar (hPa; 27.88 inHg),
Hurricane Bill,,2009,August 19-20,130 mph (215 km/h),943 mbar (hPa; 27.85 inHg),
Hurricane Danielle,,2010,August 27,130 mph (215 km/h),942 mbar (hPa; 27.82 inHg),
Hurricane Earl,,2010,August 30-September 2,145 mph (230 km/h),927 mbar (hPa; 27.37 inHg),
Hurricane Igor,,2010,September 12-17,155 mph (250 km/h),924 mbar (hPa; 27.29 inHg),
Hurricane Julia,,2010,September 15,140 mph (220 km/h),948 mbar (hPa; 27.99 inHg),
Hurricane Katia,,2011,September 6,140 mph (220 km/h),942 mbar (hPa; 27.82 inHg),
Hurricane Ophelia,,2011,October 2,140 mph (220 km/h),940 mbar (hPa; 27.76 inHg),
Hurricane Gonzalo,,2014,October 15-17,145 mph (230 km/h),940 mbar (hPa; 27.76 inHg),
Hurricane Joaquin,,2015,October 1-3,155 mph (250 km/h),931 mbar (hPa; 27.64 inHg),
Hurricane Nicole,,2016,October 12-13,140 mph (220 km/h),950 mbar (hPa; 28.05 inHg),
Hurricane Harvey,,2017,August 26,130 mph (215 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Jose,,2017,September 8-10,155 mph (250 km/h),938 mbar (hPa; 27.70 inHg),
Hurricane Florence,,2018,September 5-12,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Laura,,2020,August 26-27,150 mph (240 km/h),937 mbar (hPa; 27.67 inHg),
Hurricane Teddy,,2020,September 17-18,140 mph (220 km/h),945 mbar (hPa; 27.91 inHg),
Hurricane Delta,,2020,October 6,140 mph (220 km/h),953 mbar (hPa; 28.14 inHg),
Hurricane Eta,,2020,November 2-3,150 mph (240 km/h),923 mbar (hPa; 27.26 inHg),
Hurricane Iota,,2020,November 16-17,155 mph (250 km/h),917 mbar (hPa; 27.08 inHg),
Hurricane Ida,,2021,29-Aug,150 mph (240 km/h),929 mbar (hPa; 27.43 inHg),
Hurricane Sam,,2021,September 25-October 2,155 mph (250 km/h),929 mbar (hPa; 27.43 inHg),
